Keyword,Position,Previous position,Search Volume,Keyword Difficulty,CPC,URL,Traffic,Traffic (%),Traffic Cost,Competition,Number of Results,Trends,Timestamp,SERP Features by Keyword,Keyword Intents,Position Type
cmc tech,1,1,90,45,0,https://cctvfactory.com/,22,24.44,0,0.03,122,"41, 11, 64, 64, 100, 82, 41, 52, 64, 41, 64, 52",2026-07-24 17:37:48,"Sitelinks, Video, Image, People also ask, Related searches",informational,Organic
cctv camera supplier,1,1,70,40,3.28,http://www.cctvfactory.com/,17,18.88,55,0.15,129,"18, 100, 100, 100, 100, 45, 45, 36, 36, 45, 36, 45",2026-07-20 18:45:24,"Local pack, Video, Popular products, Related searches",commercial,Local pack
25 ft hdmi cable,8,8,1300,25,0.38,https://cctvfactory.com/25ft-hdmi-cable/,16,17.77,6,1,8,"68, 84, 84, 100, 68, 68, 46, 84, 46, 46, 52, 46",2026-07-19 21:43:28,"Image pack, Sitelinks, Image, People also ask, Popular products, Related searches",commercial,Organic
supplier cctv,1,1,110,40,3.18,http://www.cctvfactory.com/,14,15.55,44,0.13,214,"34, 42, 34, 26, 42, 26, 26, 34, 26, 42, 100, 100",2026-07-30 01:58:03,"Local pack, Sitelinks, Reviews, Video, Popular products, Related searches, AI overview",commercial,Local pack
cctv vendors,1,0,30,20,28.3,http://www.cctvfactory.com/,7,7.77,198,0.22,201,"18, 18, 45, 36, 18, 18, 18, 18, 18, 18, 100, 18",2026-08-18 14:25:38,"Local pack, Reviews, Video, People also ask, Popular products, Related searches",commercial,Local pack
ai cameras,17,17,2400,44,2.56,https://cctvfactory.com/cameras-dvr-nvr/ai/,3,3.33,7,0.48,167,"65, 65, 55, 55, 55, 82, 100, 100, 65, 82, 100, 100",2026-08-14 07:19:02,"Sitelinks, Video, Image, Ads bottom, Video Carousel, People also ask, Popular products, Related searches, Discussions and forums, AI overview",informational,Organic
security cameras wholesale suppliers,1,1,30,26,5.49,http://www.cctvfactory.com/,2,2.22,10,0.78,1280,"7, 7, 11, 11, 15, 11, 15, 15, 11, 7, 7, 7",2026-07-29 06:58:02,"Local pack, Sitelinks, Reviews, Video, Image, Popular products, Related searches",commercial,Local pack
cctv houston,4,4,30,42,9.71,http://www.cctvfactory.com/,1,1.11,9,0.2,125,"18, 100, 18, 18, 18, 18, 18, 18, 27, 27, 27, 18",2026-07-10 00:36:33,"Local pack, Reviews, Video",commercial,Local pack
plasma 70 inch tv,8,8,170,22,0,https://cctvfactory.com/fits-37-to-70-inches-plasma-lcd-tv-maximum-load-up-to-165lbs/,1,1.11,0,0.37,199,"23, 23, 23, 23, 28, 54, 100, 35, 23, 28, 0, 28",2026-08-03 19:02:03,"Sitelinks, Reviews, Video, Image, People also ask, Related searches, Discussions and forums, AI overview",informational,Organic
ip camera dome sony 12mm,4,4,50,2,0,https://cctvfactory.com/4k-ip-starlight-dome-camera-with-sony-starvis-8mp-sensor-wide-angle-3-6mm-lens-smart-ir-vandal-weather-proof-ip66-ik10-indoor-outdoor-housing-with-built-in-microphone-special-price-limited-time/,1,1.11,0,0.33,217000,"35, 14, 50, 100, 100, 28, 14, 14, 14, 14, 14, 14",2026-07-12 22:01:04,"Sitelinks, Reviews, Video, People also ask, Popular products",commercial,Organic
25ft hdmi cable,19,19,880,19,0.38,https://cctvfactory.com/25ft-hdmi-cable/,1,1.11,0,1,219,"30, 30, 62, 45, 45, 100, 30, 62, 55, 55, 36, 55",2026-08-03 17:18:12,"Sitelinks, Reviews, Video, Image, People also ask, Popular products, Related searches, AI overview","commercial, informational",Organic
bnc plug to bnc plug,39,39,6600,21,0.74,https://cctvfactory.com/bnc-to-bnc-connector/,1,1.11,0,1,198,"81, 0, 3, 54, 81, 54, 81, 44, 54, 100, 66, 29",2026-08-16 18:05:01,"Sitelinks, Reviews, Video, Video Carousel, People also ask, Popular products, Related searches, AI overview","commercial, informational",Organic
nt98321 embedded linux dvr,8,8,70,0,0,https://cctvfactory.com/64-ch-embedded-linux-nvr-12m-recording-2-4k-hdmi-1-vga-output-h-265-8-hdd-bays-2-rj-45-port/,1,1.11,0,0,580,100,2026-08-01 06:59:02,"Sitelinks, Reviews, Video, Related searches, AI overview",informational,Organic
hikvision 8ch poe nvr,5,5,40,6,1.03,https://cctvfactory.com/hikvision-8ch-poe-8mp-4k-nvr-network-video-recorder-support-pos-integration/,1,1.11,1,0.33,176,"18, 18, 100, 100, 18, 18, 18, 18, 18, 18, 18, 18",2026-08-05 09:59:07,"Reviews, Video, Image, Video Carousel, Related searches, AI overview",commercial,Organic
std camera,13,13,260,9,0,https://cctvfactory.com/cameras-dvr-nvr/analog-cameras-standard-resolution/,1,1.11,0,0.03,105000000,"35, 35, 29, 29, 29, 43, 54, 54, 66, 66, 66, 81",2026-07-15 16:01:53,"Image pack, Sitelinks, Video, People also ask, Popular products, Related searches",informational,Organic
ai smart camera,6,6,90,21,1.71,https://cctvfactory.com/cameras-dvr-nvr/ai/,1,1.11,1,0.94,172,"63, 63, 63, 63, 100, 45, 81, 45, 81, 81, 100, 81",2026-07-04 04:22:44,"Sitelinks, Reviews, Video, Video Carousel, People also ask, Popular products, Related searches, Short videos, AI overview",informational,Organic
cctv camera shop,14,14,170,60,10.32,https://cctvfactory.com/,0,0,0,0.01,208,"2, 2, 2, 4, 2, 2, 4, 19, 15, 29, 100, 100",2026-07-07 09:06:07,"Local pack, Sitelinks, Reviews, Video, Popular products, Related searches",commercial,Organic
2mp 20x speed dome camera,21,21,40,4,0,https://cctvfactory.com/2mp-network-ptz-dome-camera-20-optical-zoom-16-digitalzoom/,0,0,0,0,179,"14, 35, 21, 78, 100, 28, 14, 14, 14, 14, 14, 0",2026-06-29 21:58:33,"Sitelinks, Reviews, Video, People also ask, Popular products, Ads middle",commercial,Organic
lcd 201,58,58,40,2,0,https://cctvfactory.com/cables-accessories/tv-lcd-mount/,0,0,0,0.33,26800000,"14, 14, 100, 14, 50, 14, 78, 14, 0, 14, 14, 14",2026-06-25 06:21:01,"Sitelinks, Reviews, Popular products, Related searches",commercial,Organic
lcd 201,68,68,40,2,0,https://cctvfactory.com/cables-accessories/tv-lcd-mount/,0,0,0,0.33,26800000,"14, 14, 100, 14, 50, 14, 78, 14, 0, 14, 14, 14",2026-06-25 06:21:01,"Sitelinks, Reviews, Popular products, Related searches",commercial,Organic
human body detection camera,8,8,40,1,0,https://cctvfactory.com/cameras-dvr-nvr/ai/,0,0,0,0,177,"52, 11, 100, 11, 52, 11, 11, 11, 11, 0, 11, 0",2026-08-09 08:56:23,"Image pack, Sitelinks, Reviews, Video, Video Carousel, People also ask, Popular products, Related searches","commercial, informational",Organic
license plate reading camera,58,58,140,23,3.75,https://cctvfactory.com/license-plate-reader-camera/,0,0,0,0.88,193,"19, 19, 19, 19, 19, 19, 19, 12, 15, 15, 19, 19",2026-08-03 09:44:18,"Sitelinks, Reviews, Video, Image, Video Carousel, People also ask, Popular products, Related searches, Short videos, AI overview",informational,Organic
