Keyword,Position,Previous position,Search Volume,Keyword Difficulty,CPC,URL,Traffic,Traffic (%),Traffic Cost,Competition,Number of Results,Trends,Timestamp,SERP Features by Keyword,Keyword Intents,Position Type
dvr dvr,1,1,390,24,0.37,https://www.enster.com/4ch-8ch-6-in-1-dvr/4ch-1080p-xvr-dvr-6304mh.html,16,12.69,5,0.26,197,"13, 5, 2, 3, 13, 5, 4, 4, 3, 4, 8, 8",2026-07-26 09:48:54,"Image pack, Sitelinks, Video, People also ask, Popular products, Related searches, Things to know, AI overview",informational,Image pack
dvr dvr,1,1,390,24,0.37,https://www.enster.com/4ch-8ch-6-in-1-dvr/4ch-1080p-xvr-dvr-6304mh.html,16,12.69,5,0.26,197,"13, 5, 2, 3, 13, 5, 4, 4, 3, 4, 8, 8",2026-07-26 09:48:54,"Image pack, Sitelinks, Video, People also ask, Popular products, Related searches, Things to know, AI overview",informational,Image pack
hvr,3,3,1300,19,7.06,https://www.enster.com/16-32ch-cctv-dvr/1080p-video-security-dvr-hvr-6316mh.html,10,7.93,70,0.02,177,"36, 36, 36, 44, 44, 44, 36, 44, 36, 36, 36, 36",2026-08-06 12:18:21,"Image pack, Reviews, Video, People also ask, Related searches, AI overview",informational,Image pack
nbd8004r fw,1,1,40,0,0,https://www.enster.com/faq/xmeye-solution-nvr-factory-win10-ui-firmware.html,9,7.14,0,0.33,103,"14, 14, 50, 100, 14, 50, 14, 0, 14, 14, 14, 14",2026-07-18 15:08:57,"Video, Related searches",informational,Organic
camera fixe,1,1,170,3,0.98,https://www.enster.com/fr/fixed-bullet-ip-camera/Bullet-IP-Camera-nst-iph6363.html,7,5.55,6,0.12,189,"43, 43, 35, 28, 35, 43, 12, 23, 82, 82, 100, 23",2026-07-07 20:35:43,"Image pack, Sitelinks, Video, Video Carousel, People also ask, Popular products, Related searches",commercial,Image pack
wireless camera with monitor,3,3,590,2,1.5,https://www.enster.com/products-detail-466393,6,4.76,9,1,194,"100, 48, 59, 88, 72, 59, 72, 59, 72, 17, 72, 72",2026-06-29 01:42:54,"Image pack, Sitelinks, Reviews, Video, Image, Video Carousel, Popular products, Related searches, Discussions and forums",commercial,Image pack
outdoor waterproof smart wifi camera mini ptz dome machine,1,1,170,0,0,https://www.enster.com/wireless-ptz-camera,5,3.96,0,0.96,175,"43, 43, 28, 21, 43, 53, 81, 81, 81, 53, 81, 100",2026-07-18 11:47:15,"Sitelinks, Reviews, Video, Video Carousel, Popular products, Related searches","informational, transactional",Organic
wifi 4ch ip camera nvr kit,8,8,260,7,0,https://www.enster.com/wireless-camera-kit,4,3.17,0,0,146,"100, 4, 20, 4, 0, 0, 0, 0, 0, 0, 0, 0",2026-08-17 19:45:59,"Sitelinks, Video, People also ask, Popular products, Related searches, AI overview",commercial,Organic
cctv recorder,1,1,70,26,1.38,https://www.enster.com/4ch-8ch-6-in-1-dvr/CCTV-Security-System-Digital-V.html,4,3.17,5,1,182,"34, 26, 34, 26, 19, 26, 7, 53, 7, 42, 11, 42",2026-07-04 09:06:40,"Image pack, Sitelinks, Reviews, Video, Image, Video Carousel, People also ask, Popular products, Related searches, AI overview","commercial, informational",Image pack
download videolink,3,3,70,19,0.93,https://www.enster.com/Videolink-Camera,4,3.17,3,0.01,111,"0, 24, 0, 0, 8, 0, 0, 0, 0, 0, 13, 0",2026-08-01 16:31:47,"Reviews, Video, Related searches, AI overview",informational,Organic
dvr hd,1,1,70,15,0.91,https://www.enster.com/4ch-8ch-6-in-1-dvr/4ch-1080p-xvr-dvr-6304mh.html,4,3.17,3,0.61,218,"100, 29, 23, 41, 52, 41, 29, 41, 52, 52, 41, 29",2026-07-11 06:55:44,"Image pack, Sitelinks, Reviews, Video, People also ask, Popular products, Related searches",informational,Image pack
dvr hd,1,1,70,15,0.91,https://www.enster.com/4ch-8ch-6-in-1-dvr/4ch-1080p-xvr-dvr-6304mh.html,4,3.17,3,0.61,218,"100, 29, 23, 41, 52, 41, 29, 41, 52, 52, 41, 29",2026-07-11 06:55:44,"Image pack, Sitelinks, Reviews, Video, People also ask, Popular products, Related searches",informational,Image pack
