Keyword,Position,Previous position,Search Volume,Keyword Difficulty,CPC,URL,Traffic,Traffic (%),Traffic Cost,Competition,Number of Results,Trends,Timestamp,SERP Features by Keyword,Keyword Intents,Position Type
security caneras,1,1,390,68,5.47,https://jer-tech.com/7-features-to-look-for-when-buying-a-security-camera-system/,12,30.76,65,0.2,311,"45, 30, 30, 20, 10, 13, 8, 6, 8, 10, 20, 100",2026-08-10 12:52:40,"Sitelinks, Video, Ads top, Ads bottom, People also ask, Popular products, Related searches, Things to know, Discussions and forums",commercial,Things to know
security cammeras,1,1,320,70,5.47,https://jer-tech.com/7-features-to-look-for-when-buying-a-security-camera-system/,10,25.64,54,0.2,312,"0, 0, 0, 0, 5, 0, 16, 2, 10, 13, 24, 100",2026-08-06 11:02:58,"Sitelinks, Video, People also ask, Popular products, Related searches, Things to know, Discussions and forums, AI overview","commercial, informational",Things to know
ip cameras for home security,1,1,90,67,2.58,https://jer-tech.com/are-4k-ip-cameras-worth-it-home-security/,5,12.82,12,0.52,192,"7, 7, 42, 19, 53, 26, 7, 42, 100, 19, 42, 26",2026-06-27 02:00:29,"Sitelinks, Reviews, Video, People also ask, Popular products, Related searches, AI overview",commercial,People also ask
nvr manufacturers,7,7,170,22,4.17,https://jer-tech.com/top-nvr-manufacturers-2025-comparison-guide/,4,10.25,16,0.03,194,"65, 65, 53, 53, 26, 19, 42, 80, 65, 100, 100, 100",2026-08-09 03:16:53,"Sitelinks, Video, Image, Video Carousel, People also ask, Popular products, Related searches, AI overview","commercial, informational",Organic
secutiy cameras,1,1,70,67,5.47,https://jer-tech.com/7-features-to-look-for-when-buying-a-security-camera-system/,2,5.12,10,0.2,314,"0, 100, 0, 0, 0, 0, 82, 0, 0, 0, 0, 0",2026-08-11 08:55:48,"Sitelinks, Video, Ads bottom, People also ask, Popular products, Related searches, Things to know, Discussions and forums",commercial,Things to know
top 10 cctv camera brands in world,1,1,30,20,3.29,https://jer-tech.com/top-10-cctv-camera-manufacturers-in-china/,1,2.56,3,1,86,"55, 100, 22, 44, 33, 22, 22, 22, 22, 22, 22, 22",2026-07-10 17:55:14,"Sitelinks, Reviews, Video, Image, People also ask, Popular products, Related searches, AI overview","commercial, informational",AI overview
network video recorder manufacturers,9,9,140,20,4.17,https://jer-tech.com/top-nvr-manufacturers-2025-comparison-guide/,1,2.56,4,0.03,200,"53, 34, 26, 34, 26, 19, 42, 80, 53, 100, 100, 65",2026-08-11 01:55:44,"Sitelinks, Video, People also ask, Popular products, Related searches, AI overview","commercial, informational",Organic
supplier cctv,8,8,110,40,3.18,https://jer-tech.com/cctv-camera-supplier-guide/,1,2.56,3,0.13,214,"34, 42, 34, 26, 42, 26, 26, 34, 26, 42, 100, 100",2026-07-30 01:58:03,"Local pack, Sitelinks, Reviews, Video, Popular products, Related searches, AI overview",commercial,Organic
best poe security cameras 2026,7,7,50,20,0,https://jer-tech.com/best-poe-camera-systems-diy-home-security-2026/,1,2.56,0,0,135,"100, 100",2026-07-08 03:03:56,"Sitelinks, Reviews, Video, Video Carousel, Related searches",commercial,Organic
best ip security cameras,1,1,40,42,2.17,https://jer-tech.com/best-poe-camera-systems-diy-home-security-2026/,1,2.56,2,1,175,"34, 26, 11, 7, 7, 7, 7, 26, 19, 11, 11, 15",2026-07-10 20:43:45,"Sitelinks, Reviews, Video, Image, Video Carousel, People also ask, Popular products, Related searches, AI overview",commercial,AI overview
